Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
Product 11,PR-11,code128,Guess,E1,PCS,PCS,dozen,90,100,20,No Tax,exclusive,no_image.png,SC1,Red|Blue|Black|White,CF1,CF2,CF3,CF4,CF5,CF6,HSN,Pro 11,Mohd Khairul,NG01,90
Ayam Bumbu Karawaci (Broiler),BR000043,code128,,E1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Ayam Bumbu Karawaci (Kampung),BR000044,code128,,PWM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Bakso Ayam Java 500 gr (50 Pcs),BR000031,code128,,PWM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Bakso Sapi Java Prima  325 gr (27 Pcs),BR000032,code128,,E1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Bebek Bumbu Karawaci,BR000045,code128,,B1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
BLD 1.0 kg,BR000012,code128,,B1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
BLD 2.0 kg,BR000013,code128,,B1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
BLP 1.0 kg,BR000014,code128,,B1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
BLP 2.0 kg,BR000015,code128,,CAM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Buntut Sapi/Oxtail Cut (500 gr),BR000037,code128,,P2,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Dada halus marinasi (Hara chicken),BR000057,code128,,P2,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Dada Marinasi 1.0 kg,BR000020,code128,,P1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Dada Ribs 1.0 kg,BR000040,code128,,P2,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Dada tulang marinasi (Hara chicken),BR000055,code128,,CAM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Daging Rendang  (500 gr),BR000033,code128,,CAM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Daging Slice (500 gr),BR000034,code128,,O1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Egg Chicken Roll,BR000023,code128,,CAM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Iga Sapi Bakar/Konro (500 gr),BR000035,code128,,CAM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Iga Sapi Sop (500 gr),BR000036,code128,,PWM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Java Beef Patties 500 Gr,BR000049,code128,,K1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Karkas 0.3,BR000001,code128,,K1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Karkas 0.4,BR000002,code128,,K1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Karkas 0.5,BR000003,code128,,K1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Karkas 0.6,BR000004,code128,,K1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Karkas 0.7,BR000005,code128,,K1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Karkas 0.8,BR000006,code128,,K1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Karkas 0.9,BR000007,code128,,K1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Karkas 1.0,BR000008,code128,,K1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Karkas 1.1,BR000009,code128,,K1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Karkas 1.2,BR000010,code128,,K1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Karkas 1.3,BR000047,code128,,P1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Keel (Dada Lembut),BR000048,code128,,B1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Kulit 1.0 kg,BR000016,code128,,O1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
MDM,BR000053,code128,,P1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Middle Wing,BR000058,code128,,PWM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Nugget Fancy 250 gr,BR000028,code128,,PWM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Nugget Fancy 500 gr,BR000029,code128,,PWM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Nugget Fancy medium 500 gr,BR000030,code128,,PWM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Oki Minipao Coklat isi 30,BR000050,code128,,P1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Paha Atas 1.0 kg,BR000022,code128,,P1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Paha bawah 1.0 kg,BR000038,code128,,P2,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Paha bawah marinasi (Hara chicken),BR000056,code128,,P2,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Paha Marinasi 1.0 kg,BR000021,code128,,P1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Paha Utuh,BR000046,code128,,P1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Parting 1.0 kg,BR000019,code128,,P2,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Parting Marinasi 1.0 kg P70,BR000018,code128,,P1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Parting marinasi 1.0 kg up,BR000042,code128,,P1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Parting P.70,BR000041,code128,,P1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Parting P.70 500 gram,BR000052,code128,,B1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Sayap 1.0 kg,BR000017,code128,,P2,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Sayap marinasi (Hara chicken),BR000054,code128,,PWM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Sosis Sapi  Bratwurst Java (7 Pcs),BR000024,code128,,PWM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Sosis Sapi Bratwurst Java (11 Pcs),BR000025,code128,,PWM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Sosis Sapi Wima ( 10 Pcs),BR000027,code128,,PWM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Sosis Sapi Wima ( 6 Pcs),BR000026,code128,,CAM,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Striploin Steak 200 Gr,BR000051,code128,,B1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
Wing stick,BR000039,code128,,B1,PCS,PCS,,,,,,,,,,,,,,,,,,,,
