Kode Produk;Nama Produk;Variasi;Diharapkan;Terhitung
0;Ayam Karkas 0.7 kg;;0;38
11010001;Paha Atas 1.0 Kg;;10;9
11010002;Drum stick 1 kg;;0;8
11010003;Chicken wing 1 kg;;20;9
11010004;Boneless Paha 1.0 Kg Premium;;10;10
11010006;Bakso Java 500gr;;20;20
11010007;Chicken teriyaki 500g;;44;9
11010008;Naget ayam fancy 250 gr;;20;58
11010009;Bart's french fries 1 kg;;0;8
11010014;Naget ayam hati 250 g;;39;20
11010015;Naget ayam fancy 500 g ;;32;12
11010018;Lidah Slice 500 gr (AUS);;0;20
11010019;Rib Eye Steak 200 gr (AUS);;20;20
11010020;Striploin Steak 200 gr (AUS);;20;20
11010021;Yakiniku / Teriyaki Slice Less Fat 500 gr (AUS);;20;33
11010022;Oxtail Cut 500 gr (AUS);;40;31
11010023;All Variant Super Less Fat 500 gr (AUS);;19;28
11010024;Iga Galbi 500 gr (AUS);;5;5
11010025;Iga Sop Super (Rib Plate) 500 gr (AUS);;38;38
11010026;Sukiyaki Slice 500 gr (AUS);;38;37
11010027;Daging Rendang 500 gr (AUS);;20;20
11010028;Daging Giling 500 gr (AUS);;9;9
11010029;Bratwurst sausage mini ori 500 g;;20;50
11010031;Bratwurst sausage mini keju 500 g;;12;10
8,89636E+12;Pulosari 5 KG;;25;22
8,98636E+12;Sumur Tujuh;;22;25
8,99119E+12;Sasa santan kelapa 200 ml;;21;24
8,99722E+12;Nuget Fancy 250gr;;62;58
8,99722E+12;JAVA BEEF PATTIES 500GR;;37;34
8,99722E+12;MINIPAO COKELAT 480GR;;18;18
8,99722E+12;MINIPAO KEJU 480GR;;9;9
8,99722E+12;MINIPAO STROBERI 480GR;;12;12
8,99722E+12;MINIPAO AYAM 480GR;;23;23
8,99722E+12;MINIPAO SAPI 480GR;;11;11
8,99722E+12;Spicy chicken 500g ;;15;34
8,99722E+12;ROYAL JAVA BAKSO SAPI 450GR;;39;75
BD1;W99 Boneless Dada 1.0 Kg;;10;10
BP1;W99 Boneless Paha 1.0 Kg;;0;10
KL1P;W99 Kulit 1.0 Kg Premium;;9;9
OLN010;Striploin Steak 400 gr (AUS);;0;20
OLN032;Oxtail Super 500 gr;;0;31
PA1P;W99 Paha Atas 1.0 Kg Premium;;0;9
PB1;W99 Paha Bawah 1.0 Kg;;7;8
TLR001;Telur Ayam;;555.250;0
WK007;W99 Karkas 0.7 Kg;;0;38
WMS002;Daging Rendang 1 kg (AUS);;0;20
WMS004;Sukiyaki Slice 1 kg (AUS);;0;37
WMS006;Yakiniku / Teriyaki Slice Less Fat 1 kg (AUS);;0;33
WMS016;All Variant Super Less Fat 1kg (AUS);;0;28
WMS018;Rib Eye Steak 400 gr (AUS);;0;20
WMS022;Oxtail Cut 1 kg (AUS);;0;31
WMS024;Daging Giling 1 kg (AUS);;0;9
WMS029;Lidah Slice 250 gr (AUS);;20;20
