Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,Quantity,Details,Product Details
WMeat Daging Rendang 500 gr,OLN-001,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,2670bd218f2cecb61c71e6b5e1bf5611.jpg,,,,,,,,,,,
WMeat Daging Rendang 800 gr,OLN-002,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,bbe12838ef04a53c77f8c61505af0faf.jpg,,,,,,,,,,,
WMeat Aus Beef Daging Giling 500 gr,OLN-003,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,01f35aa81ecc5c0db0ec3314e072b9e8.jpg,,,,,,,,,,,
WMeat Aus Beef Daging Giling 1 kg,OLN-004,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,3ad86d91f49b24341b1d367a4bf918d0.jpg,,,,,,,,,,,
WMeat Daging Slice 300 gr,OLN-005,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,afad878381af78fc2c4223abc81b5d1c.jpg,,,,,,,,,,,
WMeat Daging Slice  500 gr,OLN-006,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,dafcbdb37465d70d36bec8b741eeecef.jpg,,,,,,,,,,,
WMeat Aus Beef Striploin Steak 200 gr,OLN-009,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,501d55f77d6cd514aa5bc323843461ac.jpg,,,,,,,,,,,
WMeat Aus Beef Striploin Steak 400 gr,OLN-010,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,c8470b7bb1d31fa2cfd6541582658965.jpg,,,,,,,,,,,
WMeat Aus Beef Iga Bakar 500 gr,OLN-011,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,3cebef794513a8279edb4bddef715e81.jpg,,,,,,,,,,,
WMeat Aus Beef Iga Bakar 1 kg,OLN-012,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,23dc98b52d8aeb9d2b18987fa199ac2f.jpg,,,,,,,,,,,
WMeat Tulang Sapi Sop  500 gr,OLN-013,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,bfbfe6de1b076935fb1cd6d4f1f27c44.jpg,,,,,,,,,,,
WMeat Tulang Sapi Soup  1 kg,OLN-014,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,0bbaad078e5b88ddc333c1598177cf2e.jpg,,,,,,,,,,,
WMeat Aus Beef All Variant (Tumis/Sop) 500 gr,OLN-015,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,bae1ce6b042b68e7ece56f65ffd0d953.jpg,,,,,,,,,,,
WMeat Aus Beef All Variant (Tumis/Sop) 1 kg,OLN-016,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,724c029ebd487ee39194dff3334f6f17.jpg,,,,,,,,,,,
WMeat Buntut Sapi / Oxtail Cut  500 gr,OLN-017,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,daf8f28e7878695f08bbc3ce657980a7.jpg,,,,,,,,,,,
WMeat Buntut Sapi / Oxtail Cut  1 kg,OLN-018,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,4897f8c5c349bad286fe0d566a382eb7.jpg,,,,,,,,,,,
Daging Rendang 1 kg Shank,OLN-023,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,2d1fe1bb02361525602f39835599a7e9.jpg,,,,,,,,,,,
Tenderloin Cube 300 gr,OLN-0290,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,c6b8a473fc3a58f605852cf57f3a3a09.jpg,,,,,,,,,,,
Wmeat Oxtail Super 500 gr,OLN-032,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,3c6c4882ea3ff2e5bf279d06f26272fd.jpg,,,,,,,,,,,
WMeat Aus Beef Daging Rendang 500 gram,WMS-001,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,2cb1087faa951da952ee27108a99b8f4.jpg,,,,,,,,,,,
WMeat Aus Beef Daging Rendang 1 kg,WMS-002,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,5ed1d411fd2678aec06f98fc502ab091.jpg,,,,,,,,,,,
WMeat Aus Beef Sukiyaki Slice 500 gr,WMS-003,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,40074c49592344cd30c896cbd0ba93a8.jpg,,,,,,,,,,,
WMeat Aus Beef Sukiyaki Slice 1 kg,WMS-004,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,f6ee8304c85dd7df8821d276c3c2e8ee.jpg,,,,,,,,,,,
WMeat Aus Beef Yakiniku/Teriyaki Slice 500 gr,WMS-005,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,2fc2545813d80858e810c3783919e032.jpg,,,,,,,,,,,
WMeat Aus Beef Yakiniku/Teriyaki Slice 1 kg,WMS-006,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,1c008c705c1a65885969b4984654c8e3.jpg,,,,,,,,,,,
WMeat Aus Beef Tulang Sop 500 gr,WMS-011,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,911290648c67c1d419e340cd44c2442d.jpg,,,,,,,,,,,
WMeat Aus Beef Tulang Sop 1 kg,WMS-012,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,59436369a587f5114a38af71e263f9de.jpg,,,,,,,,,,,
WMeat Aus Beef All Variant Less Fat 500 gr,WMS-015,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,2a0d439711689056dd2db2ffb49cf26e.jpg,,,,,,,,,,,
WMeat Aus Beef All Variant Less Fat 1 kg,WMS-016,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,6170d1e5cf4ecf98c83106b8effb5c11.jpg,,,,,,,,,,,
WMeat Aus Beef Rib Eye Steak 200 gr,WMS-017,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,bb7b3bfe0fa5c9e3c7c74288a1ca8ad7.jpg,,,,,,,,,,,
WMeat Aus Beef Rib Eye Steak 400 gr,WMS-018,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,118033ee7bfa2abd98ed13216a2f0f8e.jpg,,,,,,,,,,,
WMeat Aus Beef Oxtail Cut 500 gr,WMS-021,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,41bc6d8264cec9d6cc0d82f1215c6dd5.jpg,,,,,,,,,,,
WMeat Aus Beef Oxtail Cut 1 kg,WMS-022,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,55a7800734e46f3f07eb16d0b2f907be.jpg,,,,,,,,,,,
WMeat Aus Beef Daging Giling 500 gram,WMS-023,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,3cd64fedbfc6e0cc9f8ce640486190a9.jpg,,,,,,,,,,,
WMeat Aus Beef Daging Giling 1 kg,WMS-024,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,128b4c1c96b3fa9f6ead866129c4c12b.jpg,,,,,,,,,,,
WMeat Aus Beef Iga Sop Super 500 gr,WMS-025,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,b42a8c3ee23a6a2be6896f589ecb6132.jpg,,,,,,,,,,,
WMeat Aus Beef Iga Sop Super 1 kg,WMS-026,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,c6cb837e598b1059d38c837029e0d1fa.jpg,,,,,,,,,,,
Wmeat Aus Beef Striploin Steak Bone In 250 gr,WMS-027,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,9d2ffa92b3463beb536344abe218c3c9.jpg,,,,,,,,,,,
WMeat Aus Beef Lidah Sapi Slice 500 gr,WMS-028,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,f08033d9651ae7158ac617b71654a3b5.jpg,,,,,,,,,,,
WMeat Aus Beef Lidah Sapi Slice 250 gr,WMS-029,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,55cf765420d2d18d7dc2707fdaba68f9.jpg,,,,,,,,,,,
Wmeat Aus Beef Iga Galbi 500 gr,WMS-030,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,2cd6a2aaf53260e29e9150d465b1f019.jpg,,,,,,,,,,,
WMeat Aus Beef All Variant Less Fat 500 gr lokal,WMS-037,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,981a535beea1f14fc428fe2f33c84eff.jpg,,,,,,,,,,,
WMeat Aus Beef All Variant Less Fat 1 kg lokal,WMS-038,code128,WMEAT,B001,PCS,PCS,PCS,,,4,,Inclusive,c7f0352b9683f1ee1a89c6a9eab3320c.jpg,,,,,,,,,,,
