"Kode Produk","Nama Produk",Variasi,Diharapkan,Terhitung
OLN-003,"WMeat Aus Beef Daging Giling 500 gr",,15.0000,
OLN-004,"WMeat Aus Beef Daging Giling 1 kg",,5.0000,
OLN-009,"WMeat Aus Beef Striploin Steak 200 gr",,7.0000,
OLN-010,"WMeat Aus Beef Striploin Steak 400 gr",,12.0000,
OLN-011,"WMeat Aus Beef Iga Bakar 500 gr",,11.0000,
OLN-012,"WMeat Aus Beef Iga Bakar 1 kg",,10.0000,
OLN-015,"WMeat Aus Beef All Variant (Tumis/Sop) 500 gr",,15.0000,
OLN-016,"WMeat Aus Beef All Variant (Tumis/Sop) 1 kg",,9.0000,
OLN-0290,"Tenderloin Cube 300 gr",,11.0000,
WMS-001,"WMeat Aus Beef Daging Rendang 500 gram",,13.0000,
WMS-002,"WMeat Aus Beef Daging Rendang 1 kg",,9.0000,
WMS-003,"WMeat Aus Beef Sukiyaki Slice 500 gr",,16.0000,
WMS-004,"WMeat Aus Beef Sukiyaki Slice 1 kg",,10.0000,
WMS-005,"WMeat Aus Beef Yakiniku/Teriyaki Slice 500 gr",,27.0000,
WMS-006,"WMeat Aus Beef Yakiniku/Teriyaki Slice 1 kg",,9.0000,
WMS-011,"WMeat Aus Beef Tulang Sop 500 gr",,5.0000,
WMS-012,"WMeat Aus Beef Tulang Sop 1 kg",,5.0000,
WMS-015,"WMeat Aus Beef All Variant Less Fat 500 gr",,8.0000,
WMS-016,"WMeat Aus Beef All Variant Less Fat 1 kg",,8.0000,
WMS-017,"WMeat Aus Beef Rib Eye Steak 200 gr",,8.0000,
WMS-018,"WMeat Aus Beef Rib Eye Steak 400 gr",,17.0000,
WMS-021,"WMeat Aus Beef Oxtail Cut 500 gr",,11.0000,
WMS-022,"WMeat Aus Beef Oxtail Cut 1 kg",,12.0000,
WMS-023,"WMeat Aus Beef Daging Giling 500 gr",,3.0000,
WMS-024,"WMeat Aus Beef Daging Giling 1 kg",,8.0000,
WMS-025,"WMeat Aus Beef Iga Sop Super 500 gr",,8.0000,
WMS-026,"WMeat Aus Beef Iga Sop Super 1 kg",,11.0000,
WMS-027,"Wmeat Aus Beef Striploin Steak Bone In 250 gr",,27.0000,
WMS-028,"WMeat Aus Beef Lidah Sapi Slice 500 gr",,4.0000,
WMS-029,"WMeat Aus Beef Lidah Sapi Slice 250 gr",,16.0000,
WMS-030,"Wmeat Aus Beef Iga Galbi 500 gr",,12.0000,
